,0,1,2
0,1,0.7175,0.7075
1,10,0.748125,0.715
2,20,0.799375,0.71
3,30,0.836875,0.715
4,40,0.876875,0.72
5,50,0.898125,0.7225
6,60,0.931875,0.7075
7,70,0.945625,0.705
8,80,0.956875,0.7275
9,90,0.965625,0.715
10,100,0.975625,0.7075
11,110,0.980625,0.7125
12,120,0.986875,0.705
13,130,0.99375,0.71
14,140,0.99625,0.705
15,150,0.996875,0.71
16,160,0.998125,0.72
17,170,0.999375,0.725
18,180,1.0,0.725
19,190,1.0,0.7225
20,200,1.0,0.715
21,210,1.0,0.7225
22,220,1.0,0.7375
23,230,1.0,0.725
24,240,1.0,0.7225
25,250,1.0,0.7225
26,260,1.0,0.72
27,270,1.0,0.7275
28,280,1.0,0.7275
29,290,1.0,0.72
30,300,1.0,0.7275
31,310,1.0,0.73
32,320,1.0,0.735
33,330,1.0,0.725
34,340,1.0,0.7275
35,350,1.0,0.7325
36,360,1.0,0.73
37,370,1.0,0.73
38,380,1.0,0.725
39,390,1.0,0.7275
40,400,1.0,0.73
