,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,145.0,0.00046810798812657595,"[4, 0, 3, 3, 3, 1, 3, 2, 4, 0]",10,100000,0
1,100000,213.0,0.00915006292052567,"[4, 4, 3, 4, 4, 3, 3, 4, 4, 0]",10,100000,0
2,0,103.0,0.025072373915463686,"[0, 4, 1, 4, 1, 2, 2, 0, 1, 1]",10,100000,1
3,100000,210.0,0.02801511494908482,"[0, 4, 4, 4, 4, 2, 4, 4, 1, 4]",10,100000,1
4,0,122.0,0.03471938194707036,"[1, 0, 2, 2, 3, 2, 3, 2, 1, 2]",10,100000,2
5,100000,178.0,0.03650014696177095,"[1, 3, 2, 3, 3, 2, 4, 2, 4, 3]",10,100000,2
6,0,108.0,0.04164276702795178,"[0, 3, 0, 2, 2, 0, 4, 3, 4, 0]",10,100000,3
7,100000,186.0,0.04339838295709342,"[0, 3, 0, 2, 4, 4, 4, 3, 4, 3]",10,100000,3
8,0,153.0,0.047546265996061265,"[3, 2, 4, 3, 3, 0, 3, 0, 4, 2]",10,100000,4
9,100000,194.0,0.04881400894373655,"[3, 2, 4, 4, 3, 2, 4, 2, 4, 2]",10,100000,4
10,0,74.0,0.05262195295654237,"[0, 4, 0, 3, 2, 0, 0, 1, 1, 0]",10,100000,5
11,100000,201.0,0.05430532596074045,"[0, 4, 4, 3, 2, 4, 3, 4, 1, 4]",10,100000,5
12,0,135.0,0.05838015000335872,"[0, 2, 4, 0, 4, 3, 3, 0, 0, 3]",10,100000,6
13,100000,212.0,0.06100183294620365,"[4, 2, 4, 4, 4, 4, 3, 4, 0, 3]",10,100000,6
14,0,105.0,0.06501726596616209,"[1, 2, 0, 3, 0, 2, 4, 3, 2, 1]",10,100000,7
15,100000,188.0,0.06685346993617713,"[1, 4, 2, 3, 2, 2, 4, 4, 4, 3]",10,100000,7
16,0,143.0,0.0706908309366554,"[3, 2, 1, 4, 4, 4, 0, 0, 2, 0]",10,100000,8
17,100000,211.0,0.07345925900153816,"[4, 4, 2, 4, 4, 4, 0, 1, 3, 4]",10,100000,8
18,0,154.0,0.07753072993364185,"[1, 4, 1, 2, 2, 3, 1, 2, 2, 4]",10,100000,9
19,100000,198.0,0.07881138101220131,"[2, 4, 3, 3, 2, 4, 2, 3, 2, 4]",10,100000,9
20,0,61.0,0.08274894498754293,"[2, 0, 2, 3, 0, 0, 1, 0, 0, 2]",10,100000,10
21,100000,194.0,0.08535401592962444,"[2, 4, 2, 3, 3, 4, 3, 2, 4, 2]",10,100000,10
22,0,145.0,0.00026042305398732424,"[4, 0, 3, 3, 3, 1, 3, 2, 4, 0]",30,100000,0
23,100000,213.0,0.001700613065622747,"[4, 4, 3, 4, 4, 3, 3, 4, 4, 0]",30,100000,0
