,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,16.0,0.0015608969843015075,"[12, 15, 21, 0, 3, 3, 7, 9, 19, 21, 18, 4, 6, 12, 1, 6, 7, 14, 17, 5, 13, 8]",10,100000,0
1,100000,7.0,0.04600148694589734,"[10, 4, 2, 0, 21, 3, 7, 9, 19, 21, 18, 15, 6, 12, 1, 4, 7, 14, 17, 5, 13, 8]",10,100000,0
2,0,20.0,0.05107783596031368,"[1, 8, 0, 4, 6, 21, 13, 7, 15, 9, 18, 8, 15, 11, 6, 15, 1, 12, 3, 18, 15, 3]",10,100000,1
3,100000,10.0,0.07956636603921652,"[12, 8, 0, 4, 6, 21, 13, 7, 2, 9, 18, 20, 15, 11, 19, 7, 1, 21, 3, 18, 15, 4]",10,100000,1
4,0,16.0,0.08316246699541807,"[15, 21, 11, 4, 7, 13, 10, 20, 14, 17, 19, 3, 9, 18, 21, 2, 19, 21, 11, 18, 13, 1]",10,100000,2
5,100000,10.0,0.10729693004395813,"[15, 5, 11, 4, 7, 13, 10, 20, 14, 17, 19, 3, 9, 18, 21, 2, 3, 7, 18, 18, 13, 1]",10,100000,2
6,0,16.0,0.1110334109980613,"[7, 21, 5, 8, 11, 14, 0, 8, 19, 6, 10, 19, 2, 0, 19, 14, 0, 19, 6, 1, 12, 18]",10,100000,3
7,100000,10.0,0.13923949794843793,"[7, 21, 5, 14, 19, 14, 0, 8, 20, 4, 10, 19, 2, 0, 19, 14, 0, 19, 6, 1, 12, 18]",10,100000,3
8,0,22.0,0.1432784249773249,"[20, 1, 17, 12, 14, 0, 2, 19, 14, 18, 11, 20, 9, 14, 0, 12, 9, 18, 4, 7, 3, 16]",10,100000,4
9,100000,6.0,0.18442551197949797,"[4, 1, 17, 10, 14, 7, 2, 19, 14, 20, 11, 20, 5, 0, 0, 12, 9, 15, 21, 13, 3, 16]",10,100000,4
10,0,20.0,0.1890454930253327,"[4, 21, 13, 5, 19, 11, 8, 0, 17, 5, 4, 1, 5, 16, 6, 8, 19, 4, 20, 10, 10, 3]",10,100000,5
11,100000,9.0,0.2236133540282026,"[4, 21, 13, 15, 15, 11, 4, 2, 17, 5, 18, 1, 5, 16, 6, 8, 19, 4, 20, 8, 10, 3]",10,100000,5
12,0,19.0,0.2290231849765405,"[3, 10, 21, 21, 14, 15, 1, 12, 11, 7, 11, 13, 2, 1, 16, 1, 16, 1, 1, 12, 6, 8]",10,100000,6
13,100000,8.0,0.26149982097558677,"[3, 10, 21, 9, 0, 15, 1, 12, 14, 7, 18, 13, 2, 1, 16, 12, 16, 1, 19, 12, 6, 8]",10,100000,6
14,0,22.0,0.2665456519462168,"[9, 4, 16, 18, 5, 21, 14, 3, 16, 0, 17, 9, 18, 1, 16, 17, 12, 6, 19, 4, 3, 6]",10,100000,7
15,100000,4.0,0.3193231349578127,"[13, 4, 2, 18, 14, 21, 10, 3, 16, 0, 17, 9, 7, 1, 20, 17, 12, 6, 19, 16, 5, 20]",10,100000,7
16,0,24.0,0.3251393809914589,"[15, 9, 20, 0, 14, 2, 19, 21, 4, 0, 20, 5, 17, 4, 0, 17, 17, 8, 9, 4, 9, 12]",10,100000,8
17,100000,7.0,0.36769020301289856,"[15, 9, 20, 0, 14, 0, 19, 21, 4, 0, 10, 5, 15, 20, 0, 17, 1, 4, 8, 18, 9, 2]",10,100000,8
18,0,29.0,0.37332769203931093,"[10, 11, 13, 14, 5, 10, 7, 17, 5, 6, 11, 21, 11, 17, 21, 18, 5, 17, 8, 17, 10, 7]",10,100000,9
19,100000,11.0,0.40240752801764756,"[10, 11, 16, 10, 13, 10, 7, 21, 19, 6, 14, 14, 20, 7, 5, 18, 0, 12, 8, 17, 10, 1]",10,100000,9
20,0,28.0,0.40839741902891546,"[10, 11, 0, 17, 12, 11, 15, 20, 2, 2, 10, 4, 4, 19, 12, 17, 16, 15, 6, 6, 16, 9]",10,100000,10
21,100000,8.0,0.46262066601775587,"[1, 11, 6, 15, 21, 11, 15, 20, 2, 4, 10, 18, 2, 9, 5, 17, 13, 6, 6, 12, 14, 5]",10,100000,10
22,0,16.0,0.0008453929331153631,"[12, 15, 21, 0, 3, 3, 7, 9, 19, 21, 18, 4, 6, 12, 1, 6, 7, 14, 17, 5, 13, 8]",30,100000,0
23,100000,7.0,0.033433055970817804,"[10, 4, 2, 0, 21, 3, 7, 9, 19, 21, 18, 15, 6, 12, 1, 4, 7, 14, 17, 5, 13, 8]",30,100000,0
24,0,20.0,0.039858741918578744,"[1, 8, 0, 4, 6, 21, 13, 7, 15, 9, 18, 8, 15, 11, 6, 15, 1, 12, 3, 18, 15, 3]",30,100000,1
25,100000,10.0,0.06842395197600126,"[12, 8, 0, 4, 6, 21, 13, 7, 2, 9, 18, 20, 15, 11, 19, 7, 1, 21, 3, 18, 15, 4]",30,100000,1
26,0,16.0,0.07520240196026862,"[15, 21, 11, 4, 7, 13, 10, 20, 14, 17, 19, 3, 9, 18, 21, 2, 19, 21, 11, 18, 13, 1]",30,100000,2
27,100000,10.0,0.10021513991523534,"[15, 5, 11, 4, 7, 13, 10, 20, 14, 17, 19, 3, 9, 18, 21, 2, 3, 7, 18, 18, 13, 1]",30,100000,2
28,0,16.0,0.10733009094838053,"[7, 21, 5, 8, 11, 14, 0, 8, 19, 6, 10, 19, 2, 0, 19, 14, 0, 19, 6, 1, 12, 18]",30,100000,3
29,100000,10.0,0.1366090209921822,"[7, 21, 5, 14, 19, 14, 0, 8, 20, 4, 10, 19, 2, 0, 19, 14, 0, 19, 6, 1, 12, 18]",30,100000,3
