,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,2187.6151774566442,0.00018129299860447645,"[20, 10, 14, 13, 1, 21, 11, 19, 8, 6, 16, 4, 2, 5, 17, 9, 7, 18, 3, 0, 15, 12]",10,100000,0
1,100000,1645.6721118592984,0.015600632061250508,"[3, 14, 18, 8, 2, 1, 11, 20, 9, 13, 7, 4, 21, 5, 16, 17, 6, 10, 19, 12, 15, 0]",10,100000,0
2,0,2877.129626952868,0.020126041024923325,"[10, 7, 11, 2, 4, 6, 0, 3, 17, 1, 15, 5, 16, 19, 18, 9, 20, 8, 21, 12, 13, 14]",10,100000,1
3,100000,1245.248339539132,0.03543151798658073,"[16, 17, 9, 1, 7, 4, 21, 5, 3, 14, 8, 0, 19, 10, 18, 11, 20, 15, 12, 6, 13, 2]",10,100000,1
4,0,2889.67015708693,0.04185094009153545,"[13, 11, 3, 9, 7, 20, 10, 18, 5, 15, 14, 1, 17, 4, 12, 21, 0, 19, 2, 16, 6, 8]",10,100000,2
5,100000,1548.8828123369337,0.0642715870635584,"[21, 6, 4, 9, 11, 20, 18, 10, 8, 19, 14, 3, 17, 1, 13, 5, 0, 12, 15, 16, 2, 7]",10,100000,2
6,0,3219.985214068201,0.06960022798739374,"[8, 21, 0, 10, 5, 3, 11, 13, 6, 16, 1, 18, 12, 4, 20, 17, 2, 14, 9, 19, 7, 15]",10,100000,3
7,100000,1548.3970074178287,0.08769245108123869,"[11, 20, 0, 5, 2, 7, 21, 4, 6, 16, 13, 1, 17, 12, 9, 18, 10, 8, 19, 14, 3, 15]",10,100000,3
8,0,2760.900789925816,0.09664085402619094,"[11, 18, 14, 6, 2, 7, 17, 12, 1, 4, 13, 5, 15, 8, 10, 20, 21, 0, 3, 9, 19, 16]",10,100000,4
9,100000,1435.0321839766173,0.1275843100156635,"[0, 3, 14, 19, 16, 21, 4, 7, 1, 17, 13, 5, 8, 10, 18, 20, 11, 12, 2, 6, 9, 15]",10,100000,4
10,0,3247.518812941415,0.13836668198928237,"[15, 8, 6, 21, 14, 4, 2, 12, 0, 7, 16, 3, 13, 18, 20, 5, 10, 17, 11, 1, 9, 19]",10,100000,5
11,100000,1427.6609418628502,0.16065997199621052,"[18, 10, 19, 0, 3, 2, 6, 16, 1, 4, 21, 7, 12, 15, 20, 11, 13, 9, 17, 5, 8, 14]",10,100000,5
12,0,2960.676046034463,0.16768754506483674,"[5, 20, 2, 11, 1, 15, 3, 9, 19, 0, 14, 7, 13, 6, 17, 18, 8, 4, 21, 12, 16, 10]",10,100000,6
13,100000,1975.8808651379868,0.18234942306298763,"[11, 20, 13, 17, 2, 15, 12, 18, 19, 0, 14, 9, 1, 6, 21, 3, 8, 5, 7, 4, 16, 10]",10,100000,6
14,0,3349.0018797515704,0.18946045299526304,"[12, 21, 4, 3, 19, 17, 5, 20, 0, 13, 6, 2, 15, 8, 1, 11, 14, 7, 18, 9, 10, 16]",10,100000,7
15,100000,1567.6683596424189,0.2057504850672558,"[7, 4, 21, 5, 8, 10, 18, 17, 1, 16, 2, 6, 15, 11, 20, 3, 0, 14, 19, 12, 9, 13]",10,100000,7
16,0,2791.793366543109,0.21442803705576807,"[16, 1, 2, 15, 11, 0, 14, 17, 21, 8, 12, 10, 6, 13, 4, 9, 18, 19, 5, 20, 3, 7]",10,100000,8
17,100000,1840.8992832439878,0.22545419598463923,"[2, 16, 5, 15, 18, 3, 14, 8, 19, 10, 1, 21, 6, 4, 0, 9, 20, 11, 12, 13, 17, 7]",10,100000,8
18,0,3238.638548162353,0.23404693405609578,"[20, 9, 14, 12, 8, 0, 1, 18, 2, 4, 11, 6, 19, 13, 10, 15, 3, 7, 16, 5, 21, 17]",10,100000,9
19,100000,2070.325839213067,0.24691138102207333,"[4, 11, 13, 1, 9, 15, 12, 0, 20, 8, 10, 14, 18, 17, 7, 2, 19, 3, 5, 16, 21, 6]",10,100000,9
20,0,2804.579845907306,0.2586269930470735,"[16, 2, 8, 7, 4, 6, 3, 13, 10, 18, 5, 19, 20, 9, 14, 1, 0, 17, 21, 11, 15, 12]",10,100000,10
21,100000,1720.8233058883852,0.29054160707164556,"[18, 14, 0, 20, 13, 2, 3, 10, 19, 8, 5, 9, 7, 17, 1, 21, 4, 6, 16, 15, 12, 11]",10,100000,10
22,0,2187.6151774566442,0.00016056792810559273,"[20, 10, 14, 13, 1, 21, 11, 19, 8, 6, 16, 4, 2, 5, 17, 9, 7, 18, 3, 0, 15, 12]",20,100000,0
23,100000,1645.6721118592984,0.01872737694066018,"[3, 14, 18, 8, 2, 1, 11, 20, 9, 13, 7, 4, 21, 5, 16, 17, 6, 10, 19, 12, 15, 0]",20,100000,0
24,0,2877.129626952868,0.028589090914465487,"[10, 7, 11, 2, 4, 6, 0, 3, 17, 1, 15, 5, 16, 19, 18, 9, 20, 8, 21, 12, 13, 14]",20,100000,1
25,100000,1245.248339539132,0.0396898549515754,"[16, 17, 9, 1, 7, 4, 21, 5, 3, 14, 8, 0, 19, 10, 18, 11, 20, 15, 12, 6, 13, 2]",20,100000,1
